"uuid","title","url","publication_name","publication_image_url","date","sentiment","publication_location","amplification","author"
"4d4b8fba-7d23-4d2c-987c-f1cdd604bc2b","African NFT Collection Masks of Ether Is a Revolution","https://www.eagletribune.com/region/african-nft-collection-masks-of-ether-is-a-revolution/article_7fcab146-8f87-599f-9356-efba5dc125f4.html","The Eagle-Tribune","","2021-10-05 01:49:36","positive","United States","0",""
"53189671-5ad6-4cde-8ed3-48aaee3fa8f9","African NFT Collection Masks of Ether Is a Revolution","https://www.enidnews.com/region/african-nft-collection-masks-of-ether-is-a-revolution/article_89104c8e-930c-50fd-935f-489c5f8d1ea9.html","Enid News and Eagle","","2021-10-05 01:49:36","positive","United States","0",""
"070bfcee-6af7-417f-b464-e2cc0ec61fe4","African NFT Collection Masks of Ether Is a Revolution","https://www.benzinga.com/pressreleases/21/10/b23233419/african-nft-collection-masks-of-ether-is-a-revolution","Benzinga","https://analyst-images.cdn.airpr.com/logos/images/008/136/283/thumb/PMttsGmx_400x400.png","2021-10-05 01:49:01","positive","United States","0",""
"95db864e-9518-4673-b886-efb893288396","The Ridgway Record","http://business.ridgwayrecord.com/ridgwayrecord/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Ridgway Record","","2021-10-05 01:49:00","positive","United States","0",""
"79befc32-2e3c-4946-a7ab-d9b5b7b6ed2e","African NFT Collection Masks of Ether Is a Revolution","https://www.dailyadvent.com/news/3a8b8f290d63d3622a8ffc3721471505-African-NFT-Collection-Masks-of-Ether-Is-a-Revolution","DailyAdvent.com","","2021-10-05 01:49:00","positive","United States","0",""
"36ae1b52-3994-408e-9748-53f0fee9810c","404 Error","http://business.bigspringherald.com/bigspringherald/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Big Spring Herald","","2021-10-05 01:49:00","positive","United States","0",""
"5003bf4c-913a-455d-8656-96be2603d9cc","African NFT Collection Masks of Ether Is a Revolution","https://worldnews.se/tech/2021/10/05/african-nft-collection-masks-of-ether-is-a-revolution/","WorldNews.se","","2021-10-05 01:49:00","positive","Sweden","0",""
"b67f2f89-3c93-4c29-929d-7dc6632fb5f1","African NFT Collection Masks of Ether Is a Revolution","https://finance.yahoo.com/news/african-nft-collection-masks-ether-054900561.html","Yahoo! Finance","https://analyst-images.cdn.airpr.com/logos/images/000/086/445/thumb/yahoo_finance.jpg","2021-10-05 01:49:00","positive","United States","0",""
"6151a226-7d69-4a65-9f20-6fcb56fb1e14","African NFT Collection Masks of Ether Is a Revolution","http://finance.walnutcreekguide.com/camedia.walnutcreekguide/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","finance.walnutcreekguide.com","","2021-10-05 01:49:00","positive","United States","0",""
"09ab2aa5-9a2a-4f71-a00d-4b9b1281a704","African NFT Collection Masks of Ether Is a Revolution","https://es-us.finanzas.yahoo.com/news/african-nft-collection-masks-ether-054900561.html","Yahoo! Finanzas","","2021-10-05 01:49:00","positive","United States","0",""
"28d28607-c92a-4c4a-b87b-01576757612a","African NFT Collection Masks of Ether Is a Revolution","https://www.yahoo.com/now/african-nft-collection-masks-ether-054900561.html","Yahoo! News","https://analyst-images.cdn.airpr.com/logos/images/006/909/496/thumb/80143484834bddab9a2808c0da5b3fe4_400x400.jpeg","2021-10-05 01:49:00","positive","United States","0",""
"65288302-ea06-46b8-bddc-8e6e2218999b","African NFT Collection Masks of Ether Is a Revolution","https://www.silicon.co.uk/press-release/african-nft-collection-masks-of-ether-is-a-revolution","Silicon UK","https://analyst-images.cdn.airpr.com/logos/images/014/146/199/thumb/8Bo35See_400x400.jpg","2021-10-05 00:49:00","positive","United Kingdom","0",""
"8196714b-5f0f-44b0-87e8-13f8f9177926","African NFT Collection Masks of Ether Is a Revolution","https://www.ktvn.com/story/44887193/african-nft-collection-masks-of-ether-is-a-revolution","KTVN","","2021-10-04 20:00:00","neutral","United States","0",""
"87eca5b4-0d09-4613-a009-01dc0c088b09","African NFT Collection Masks of Ether Is a Revolution","http://us.acrofan.com/detail.php?number=541271African_NFT_Collection_Masks_of_Ether_Is_a_Revolution","Acrofan","","2021-10-04 09:49:00","positive","Korea, Republic of","0",""
